Unique name,superclass 1
in-line mixer,static mixer
inspection cover,cover
inspection hole,nozzle
instrument nozzle,nozzle
insulation collar,ring
insulation support clip,clip
insulation support ring,ring
integrally reinforced nozzle,reinforced nozzle
interceptor,separator
internal floating cover,cover
interrupter bar,baffle
ion exchanger,physical object
jacket,enclosure
jacketed nozzle,nozzle
klöpper head,torispherical head
knock out drum,drum
knock out vessel,vessel
korbbogen head,torispherical head
ladder,physical object
ladder support,support
ladder support clip,clip
lagoon,reservoir
level gauge nozzle,instrument nozzle
lift pot,physical object
lifter roof tank,tank
lifting device,physical object
lifting lug,lug
lifting trunnion,trunnion
linde reactor,process reactor
lined vessel,vessel
liquid absorber,absorber
liquid catcher,physical object
liquid distribution tray,distributor tray
liquid distributor,distributor
liquid-liquid separator,separator
loop reactor,process reactor
lug,physical object
magnetic separator,separator
manhole,nozzle
manhole cover,cover
manhole door,door
manhole with jacket,manhole
manufacturer's name plate,name plate
m-cap tray,bubble cap tray
membrane,sieve
membrane reactor,process reactor
membrane tank,tank
mesh,physical object
fluid mixer,physical object
mixer settler,settler
mixing vessel,vessel
mobile vessel,vessel
molecular sieve,sieve
monobloc vessel,vessel
mound,physical object
mounded bullet vessel,bullet vessel
mounded tankage,tankage
mounded vessel,vessel
mounting plate,physical object
moving bed,catalyst bed
moving bed reactor,process reactor
mud pit,pit
multi compartment tank,tank
multi cone bottom internal,physical object
multi cone interbed internal,physical object
multi cyclone,cyclone separator
multi layer shell,shell
multi layer vessel,vessel
multi tube reactor,process reactor
nozzle flange,flange
nozzle neck,pipe
nozzle reinforcing pad,physical object
nozzle reinforcing ring,reinforcing ring
oblong sight glass,sight glass
oil filter,filter
oil interceptor,interceptor
oil sump,reservoir
oil trap,separator
open tank,tank
outlet collector,collecting cone
outlet device,physical object
outlet nozzle,nozzle
outlet weir,weir
overhead system,system
owner's name plate,name plate
oxidation tank,tank
packed bed,vessel bed
packed bed reactor,process reactor
packed column,process column
packed product compartment,compartment
packing support,support
packing support grid,support grid
pall ring packing,process packing
pan,container
panel (vessel internal),plate
parallel plate interceptor,interceptor
partial draw off tray,draw off tray
particle,physical object
perforated pipe,pipe
pipe clip,clip
pipe guide,pipe support
pipe guide clip,pipe clip
pipe support,support
pipe support clip,pipe clip
plane (physical),feature
plate,physical object
plate and frame filter press,filter press
plate settler,settler
platform support,support
platform support clip,clip
platformer reactor,process reactor
precipitator,separator
predistributor,distributor
preferential baffle,baffle
prefluidisation ring,aerator
pressure accumulator,pressure vessel
pressure vessel,vessel
pressurised plate interceptor,interceptor
pressurised tankage,tankage
prestripper,distillation column
process column,vertical vessel
process nozzle,nozzle
process packing,physical object
process reactor,vessel
production test plate,plate
production weld test plate,weld test plate
quench column,process column
quench internal,physical object
quench ring,physical object
quench system,system
quench tray,tray
radial nozzle,nozzle
rake,physical object
random procss packing,process packing
reactor bed support,support
reclaimer,physical object
redistributor,distributor
reference plane,plane (physical)
reflux distributor tray,distributor tray
reflux elbow,pipe elbow
reflux spider,spider
refractory lined vessel,lined vessel
refrigerated tankage,tankage
regenerator,process reactor
reinforced nozzle,nozzle
reinforcing bar,physical object
reinforcing ring,ring
rhoo-cap,physical object
riser cap,cap
riser pipe,pipe
riser reactor,process reactor
roof,physical object
roof corner,feature
rotary belt filter,filter
rotary filter,filter
rotating disc contactor,process contactor
round sight glass,sight glass
rung,physical object
saddle doubling plate,plate
saddle support,support
sand filter,filter
sand trap,separator
saturator,vessel
scale catching tray,tray
scraper,physical object
screen filter,filter
screen filter element,filter cartridge
scrubber,distillation column
seal pan,physical object
second stage separator,separator
sectional plate,plate
sectional tray,tray
segmental downcomer,downcomer
separator,physical object
septic tank,tank
settlement basin,basin
settler,separator
shell,physical object
shell flange,flange
shell nozzle,nozzle
side downcomer,downcomer
sieve,physical object
sieve plate,plate
sieve tray,tray
sight hole,inspection hole
silo,vessel
sliding support,support
sloped downcomer,downcomer
slug catcher,catcher
slurry reactor,process reactor
soaker,physical object
sole plate,mounting plate
solid bed reactor,process reactor
sour water stripper,stripper
sparger,ejector
sphere,pressure vessel
spider,physical object
splitter,distillation column
spray,physical object
staircase,physical object
static mixer,physical object
static process equipment class,mechanical equipment class
steam ejector,ejector
steam jet,ejector
steam out nozzle,nozzle
steamation box,enclosure
stepped downcomer,downcomer
stiffener ring,ring
storage equipment class,mechanical equipment class
storage tank,tank
storage vessel,vessel
straight downcomer,downcomer
stripper,distillation column
structured packing,process packing
suction vessel,vessel
sulphur lock,physical object
support beam,beam
support bracket,bracket
support grid,grid
support leg,support
support ring,ring
support tray,tray
surge basin,basin
surge tank,tank
suspended deck,physical object
swirl deck,physical object
swirl tube,cyclone separator
tailing lug,lifting lug
tangential nozzle,nozzle
tank,vessel
tank pit,pit
tankage,physical object
third stage separator,separator
three phase separator,separator
top bed filter,filter
top cover,cover
top head,head
torispherical head,head
total draw off tray,draw off tray
tray,physical object
tray support beam,support beam
treatment basin,basin
trickle flow bed reactor,process reactor
trough,reservoir
trunnion,physical object
twin-drum,separator
vacuum column,distillation column
vacuum vessel,pressure vessel
valve tray,tray
vane inlet distributor,distributor
vane pack,physical object
variable vapour space tank,tank
vent nozzle,nozzle
vent pipe,pipe
vertical vessel,vessel
vessel,container
vessel assembly,physical object
vessel bed,physical object
vessel skirt,support
v-grid tray,tray
vibrating screen separator,separator
vortex breaker,physical object
water quench system,quench system
water seal vessel,vessel
water tower,physical object
wedge,physical object
wedge screen,filter cartridge
weir,plate
weir distributor,distributor
weir trough distributor,weir distributor
weld overlay,lining
weld test plate,plate
welded nozzle,nozzle
wire screen cartridge,filter cartridge
wiremesh,filter element
wiremesh demister,demister
